,indents,Synonyms
31,hobby,quilting_knitting
32,hobby,rodeoing
33,hobby,crocheting_knitting
34,hobby,crocheting_quilting
35,hobby,sewing_crocheting
36,hobby,knitting_sewing
37,hobby,solving_crossword_puzzles
38,hobby,Hobbies_Interests
39,hobby,hobbie
40,hobby,avid_gardener
41,hobby,vocation
42,hobby,sewing_quilts
43,hobby,gardening_crocheting
44,hobby,tole_painting
45,hobby,model_railroader
46,hobby,woodcraft
47,hobby,avid_fisherman
48,hobby,sewing_quilting
49,hobby,jocks_toying
0,opportunity,chance
1,opportunity,oppurtunity
2,opportunity,opportunities
3,opportunity,opporunity
4,opportunity,oppor_tunity
5,opportunity,oppportunity
6,opportunity,oportunity
7,opportunity,opportunityto
8,opportunity,opprtunity
9,opportunity,opportunites
10,opportunity,opportu_nity
11,opportunity,opportunty
12,opportunity,oppourtunity
13,opportunity,opporutnity
14,opportunity,opprotunity
15,opportunity,oppotunity
16,opportunity,opportunties
17,opportunity,op_portunity
18,opportunity,theopportunity
19,opportunity,oppertunity
20,opportunity,opportuntiy
21,opportunity,opportune
22,opportunity,opportune_moment
23,opportunity,avenue
24,opportunity,opportu_nities
25,opportunity,opportun_ity
26,opportunity,opportunitites
27,opportunity,anopportunity
28,opportunity,advantage
29,opportunity,impetus
30,opportunity,oppurtunities
31,opportunity,eager
32,opportunity,untapped_resource
33,opportunity,able
34,opportunity,oppportunities
35,opportunity,exciting
36,opportunity,Winning_WebAward
37,opportunity,incentive
38,opportunity,opporunities
39,opportunity,potential
40,opportunity,uniquely_situated
41,opportunity,afforded
42,opportunity,affords
43,opportunity,oppotunities
44,opportunity,invited
45,opportunity,insight
46,opportunity,Edwin_Hemwall_executive
47,opportunity,privilege
48,opportunity,opportuntity
49,opportunity,fortunate
0,hassle,hassles
1,hassle,inconvenience
2,hassle,tangling_wires
3,hassle,convenient
4,hassle,hassel
5,hassle,tedious_chore
6,hassle,rigmarole
7,hassle,chore
8,hassle,timesaver
9,hassle,cumbersome
10,hassle,inconveniences
11,hassle,packing_unpacking
12,hassle,inconvenient
13,hassle,convenience
14,hassle,tedious
15,hassle,legwork
16,hassle,painless
17,hassle,botheration
18,hassle,relatively_painless
19,hassle,aggravation
20,hassle,Filing_electronically
21,hassle,spokesman_Noriaki_Tobita
22,hassle,Hassle
23,hassle,timeconsuming
24,hassle,bureaucratic_hassles
25,hassle,hastle
26,hassle,user_friendly
27,hassle,easy
28,hassle,Abou_Dahab
29,hassle,convienient
30,hassle,Willdorf
31,hassle,E_vites
32,hassle,Precooked_cocktail_shrimp
33,hassle,clutter
34,hassle,inconvience
35,hassle,printing_faxing
36,hassle,MaxxForce_Advanced_EGR
37,hassle,inexpensive
38,hassle,De_cluttering
39,hassle,rekey
40,hassle,discount_Clomid_Clomiphene
41,hassle,headaches
42,hassle,Dr._Roland_Goertz
43,hassle,unsightly_wires
44,hassle,annoyances
45,hassle,where2
46,hassle,Upromise.com
47,hassle,logistical_nightmare
48,hassle,uncluttering
49,hassle,Inaccurate_scales
0,change,changes
1,change,changing
2,change,changed
3,change,alter
4,change,shift
5,change,Changing
6,change,Change
7,change,seismic_shift
8,change,Changes
9,change,altering
10,change,drastically_alter
11,change,rethink
12,change,paradigm_shift
13,change,tweak
14,change,altered
15,change,adjust
16,change,alterations
17,change,alters
18,change,radically_alter
19,change,revision
20,change,reshape
21,change,reshaping
22,change,reversal
23,change,modify
24,change,readjustments
25,change,adjustment
26,change,drastically_altered
27,change,readjustment
28,change,recalibrate
29,change,rethinking
30,change,shakeup
31,change,radically_altered
32,change,reorientation
33,change,switch
34,change,transformation
35,change,readjust
36,change,reassess
37,change,revamp
38,change,adjustments
39,change,re_evalute
40,change,shifting
41,change,difference
42,change,reevaluation
43,change,tweaks
44,change,tectonic_shift
45,change,reshuffling
46,change,improvement
47,change,overhauls
48,change,shifts
49,change,move
0,frequently,often
1,frequently,regularly
2,frequently,routinely
3,frequently,infrequently
4,frequently,occasionally
5,frequently,rarely
6,frequently,seldom
7,frequently,frequent
8,frequently,periodically
9,frequently,sometimes
10,frequently,Frequently
11,frequently,commonly
12,frequently,habitually
13,frequently,invariably
14,frequently,usually
15,frequently,whenever
16,frequently,generally
17,frequently,repeatedly
18,frequently,typically
19,frequently,Often
20,frequently,oftentimes
21,frequently,constantly
22,frequently,sporadically
23,frequently,continually
24,frequently,occassionally
25,frequently,incessantly
26,frequently,infrequent
27,frequently,oft
28,frequently,extensively
29,frequently,Occasionally
30,frequently,Commonly
31,frequently,customarily
32,frequently,readily
33,frequently,Routinely
34,frequently,regularity
35,frequently,tend
36,frequently,endlessly
37,frequently,consistently
38,frequently,Regularly
39,frequently,normally
40,frequently,numerous
41,frequently,Periodically
42,frequently,Frequent
43,frequently,Atrophic_gastritis
44,frequently,alarming_regularity
45,frequently,tended
46,frequently,casually
47,frequently,also
48,frequently,regulary
49,frequently,repetitively
