,Name,Age,Status,Family_size,Location,Budget,Age category,LD_CD,Model
337,CUS830,47,Married,6,Florida,110000,40-60,LD,AMG GLE63 S SUV
338,CUS832,58,Single,4,West Virginia,140000,40-60,LD,AMG S63 Sedan
339,CUS833,51,Married,4,New Jersey,40000,40-60,LD,C300 4MATIC SEDAN
340,CUS834,22,Single,3,Ohio,120000,20-40,LD,S550 4MATIC Coupe
341,CUS835,64,Single,6,New Jersey,30000,>60,LD,GLA 4MATIC SUV
342,CUS839,60,Single,4,Arizona,100000,>60,CD,S550 Sedan
343,CUS845,37,Single,4,Arkansas,170000,20-40,CD,S600 Sedan
344,CUS848,19,Married,6,Virginia,100000,<20,LD,AMG GLE63 SUV
345,CUS850,41,Single,5,Tennessee,70000,40-60,LD,GLS450 SUV
346,CUS852,42,Married,3,Ohio,110000,40-60,LD,AMG GT
347,CUS853,18,Married,5,Mississippi,100000,<20,LD,AMG GLE63 SUV
348,CUS856,59,Single,5,Guam,110000,40-60,LD,AMG GLE63 S SUV
349,CUS863,44,Married,4,United States Virgin Islands,70000,40-60,LD,AMG C63 Sedan
350,CUS867,46,Married,6,Oklahoma,90000,40-60,LD,GLS550 SUV
351,CUS870,48,Single,2,Kentucky,60000,40-60,LD,AMG SLC43 Roadster
352,CUS872,41,Single,3,Idaho,50000,40-60,LD,GLC300 4MATIC Coupe
353,CUS874,33,Single,5,District of Columbia,120000,20-40,CD,AMG GLS63 SUV
354,CUS875,52,Married,6,Washington,90000,40-60,LD,GLS550 SUV
355,CUS877,41,Single,3,Puerto Rico,120000,40-60,LD,S550 4MATIC Coupe
356,CUS878,22,Single,4,West Virginia,70000,20-40,LD,AMG C63 S Sedan
357,CUS879,38,Single,6,Kansas,140000,20-40,LD,AMG G63 SUV
358,CUS882,34,Single,5,Maryland,120000,20-40,LD,AMG GLS63 SUV
359,CUS885,65,Single,5,Alaska,100000,>60,CD,AMG GLE63 SUV
360,CUS886,60,Single,5,American Samoa,40000,>60,CD,GLC300 SUV
361,CUS891,60,Single,6,District of Columbia,120000,>60,CD,G550 SUV
362,CUS893,65,Single,4,Kentucky,190000,>60,LD,Mercedes-Maybach S600 Sedan
363,CUS894,62,Single,4,Northern Mariana Islands,230000,>60,LD,AMG S65 Sedan
364,CUS898,37,Married,6,Colorado,120000,20-40,CD,AMG GLS63 SUV
365,CUS900,53,Married,6,New Mexico,220000,40-60,LD,AMG G65 SUV
366,CUS901,49,Married,2,Arizona,50000,40-60,CD,C300 Cabriolet
367,CUS903,58,Married,4,Delaware,40000,40-60,CD,C300
368,CUS909,59,Married,6,Maine,90000,40-60,LD,GLS550 SUV
369,CUS912,42,Married,3,Arkansas,240000,40-60,CD,AMG S65 Coupe
370,CUS913,55,Single,3,Washington,120000,40-60,LD,S550 4MATIC Coupe
371,CUS916,48,Married,2,New York,180000,40-60,LD,AMG S63 Cabriolet
372,CUS919,54,Single,6,Guam,120000,40-60,LD,G550 SUV
373,CUS926,50,Married,2,Nevada,80000,40-60,LD,AMG C63 S Cabriolet
374,CUS932,48,Married,4,Delaware,230000,40-60,CD,AMG S65 Sedan
375,CUS935,42,Married,5,Washington,30000,40-60,LD,GLA 4MATIC SUV
376,CUS936,18,Married,6,Illinois,30000,<20,LD,GLA 4MATIC SUV
377,CUS937,37,Single,4,Virginia,140000,20-40,LD,AMG S63 Sedan
378,CUS938,26,Married,3,New Mexico,40000,20-40,LD,C300 4MATIC Coupe
379,CUS940,43,Married,4,Northern Mariana Islands,190000,40-60,LD,Mercedes-Maybach S600 Sedan
380,CUS943,43,Single,5,Rhode Island,70000,40-60,LD,GLS450 SUV
381,CUS944,43,Married,4,Michigan,100000,40-60,LD,S550 4MATIC Sedan
382,CUS950,28,Married,5,California,140000,20-40,CD,AMG G63 SUV
383,CUS952,19,Married,5,Michigan,220000,<20,LD,AMG G65 SUV
384,CUS958,56,Single,3,Montana,40000,40-60,LD,C300 4MATIC Coupe
385,CUS963,49,Married,4,Mississippi,70000,40-60,LD,AMG C63 Sedan
386,CUS965,30,Married,5,Utah,40000,20-40,LD,GLC300 4MATIC SUV
387,CUS966,41,Married,5,Arkansas,110000,40-60,CD,AMG GLE63 S SUV
388,CUS968,31,Married,6,Colorado,110000,20-40,CD,AMG GLE63 S SUV
389,CUS969,18,Married,3,Maine,160000,<20,LD,AMG S63 Coupe
390,CUS973,55,Single,6,North Dakota,220000,40-60,LD,AMG G65 SUV
391,CUS974,55,Married,5,New Jersey,50000,40-60,LD,GLE 350e 4MATIC SUV
392,CUS979,57,Single,5,Mississippi,220000,40-60,LD,AMG G65 SUV
393,CUS987,64,Married,2,Wyoming,130000,>60,LD,S550 Cabriolet
394,CUS990,63,Single,5,North Dakota,220000,>60,LD,AMG G65 SUV
395,CUS995,34,Married,5,California,30000,20-40,CD,GLA SUV
396,CUS997,34,Married,5,North Dakota,40000,20-40,LD,GLC300 4MATIC SUV
397,CUS998,27,Married,2,Pennsylvania,60000,20-40,LD,AMG C43 Cabriolet
398,CUS1000,41,Married,6,Mississippi,110000,40-60,LD,AMG GLE63 S SUV
399,CUS1001,49,Single,3,Ohio,60000,40-60,LD,E550 Coupe
400,CUS1002,31,Single,5,Massachusetts,70000,20-40,LD,AMG GLE43 SUV
401,CUS1003,55,Single,6,Hawaii,70000,40-60,LD,GLS450 SUV
402,CUS1004,18,Married,5,Northern Mariana Islands,40000,<20,LD,GLC300 4MATIC SUV
403,CUS1006,64,Single,3,Kentucky,110000,>60,LD,AMG GLC63 S Coupe
404,CUS1008,32,Single,6,New Mexico,110000,20-40,LD,AMG GLE63 S SUV
405,CUS1012,25,Single,5,Hawaii,70000,20-40,LD,AMG GLE43 SUV
406,CUS1013,25,Single,2,Tennessee,220000,20-40,LD,AMG SL65 Roadster
407,CUS1028,36,Single,2,American Samoa,220000,20-40,CD,AMG SL65 Roadster
408,CUS1030,33,Single,4,Maine,100000,20-40,LD,S550 4MATIC Sedan
409,CUS1039,35,Single,2,New York,60000,20-40,LD,AMG SLC43 Roadster
410,CUS1040,52,Single,3,Wyoming,30000,40-60,LD,CLA250 4MATIC Coupe
411,CUS1041,65,Married,6,Nevada,30000,>60,LD,GLA 4MATIC SUV
412,CUS1043,51,Married,6,Oklahoma,40000,40-60,LD,GLC300 4MATIC SUV
413,CUS1045,39,Single,4,District of Columbia,60000,20-40,CD,E400 4MATIC WAGON
414,CUS1048,27,Single,5,California,50000,20-40,CD,GLE 350 SUV
415,CUS1050,64,Single,6,Arizona,70000,>60,CD,GLS450 SUV
416,CUS1053,52,Single,5,Nevada,110000,40-60,LD,AMG GLE63 S SUV
417,CUS1065,54,Single,3,Tennessee,120000,40-60,LD,S550 4MATIC Coupe
418,CUS1068,48,Single,3,Alabama,110000,40-60,CD,AMG GT
419,CUS1070,57,Single,2,Montana,50000,40-60,LD,SLC 300 Roadster
420,CUS1071,43,Married,5,Kansas,70000,40-60,LD,GLS450 SUV
421,CUS1073,62,Married,4,Alabama,230000,>60,CD,AMG S65 Sedan
422,CUS1075,45,Single,4,Virginia,230000,40-60,LD,AMG S65 Sedan
423,CUS1079,28,Married,3,Connecticut,120000,20-40,CD,S550 4MATIC Coupe
424,CUS1083,55,Married,6,Oregon,90000,40-60,LD,GLS550 SUV
425,CUS1090,59,Single,3,Arkansas,50000,40-60,CD,E400 Coupe
426,CUS1092,19,Married,6,Nebraska,50000,<20,LD,GLE 350e 4MATIC SUV
427,CUS1095,26,Single,6,North Carolina,220000,20-40,LD,AMG G65 SUV
428,CUS1096,54,Married,4,Delaware,70000,40-60,CD,AMG C63 Sedan
429,CUS1104,40,Single,2,Nebraska,50000,40-60,LD,SLC 300 Roadster
430,CUS1105,20,Married,3,Puerto Rico,40000,20-40,LD,C300 4MATIC Coupe
431,CUS1106,20,Single,3,Maine,130000,20-40,LD,AMG GT S
432,CUS1107,62,Married,4,Maryland,70000,>60,LD,AMG E43 Sedan
433,CUS1109,20,Single,5,Delaware,100000,20-40,CD,AMG GLE63 SUV
434,CUS1112,48,Single,2,United States Virgin Islands,220000,40-60,LD,AMG SL65 Roadster
435,CUS1116,58,Single,2,Ohio,90000,40-60,LD,SL 450 Roadster
436,CUS1120,47,Single,6,Colorado,90000,40-60,CD,GLS550 SUV
437,CUS1121,55,Married,3,Massachusetts,110000,40-60,LD,AMG GT
438,CUS1122,31,Married,6,New Hampshire,100000,20-40,LD,AMG GLE63 SUV
439,CUS1125,63,Married,4,Indiana,190000,>60,LD,Mercedes-Maybach S600 Sedan
440,CUS1129,22,Married,3,Mississippi,50000,20-40,LD,GLC300 4MATIC Coupe
441,CUS1135,29,Married,4,North Dakota,230000,20-40,LD,AMG S65 Sedan
442,CUS1136,26,Single,3,Colorado,50000,20-40,CD,AMG CLA45 Coupe
443,CUS1138,19,Married,3,District of Columbia,30000,<20,CD,CLA250 Coupe
444,CUS1139,61,Married,2,Maine,250000,>60,LD,AMG S65 Cabriolet
445,CUS1141,46,Married,5,Minnesota,120000,40-60,LD,G550 SUV
446,CUS1143,62,Single,3,Illinois,50000,>60,LD,GLC300 4MATIC Coupe
447,CUS1144,63,Married,4,Texas,140000,>60,LD,AMG S63 Sedan
448,CUS1145,52,Married,2,United States Virgin Islands,130000,40-60,LD,S550 Cabriolet
449,CUS1146,28,Single,6,California,110000,20-40,CD,AMG GLE63 S SUV
450,CUS1147,18,Single,5,Alaska,220000,<20,CD,AMG G65 SUV
451,CUS1148,42,Single,5,Georgia,140000,40-60,LD,AMG G63 SUV
452,CUS1149,56,Married,5,Guam,220000,40-60,LD,AMG G65 SUV
453,CUS1151,31,Married,5,Nebraska,50000,20-40,LD,GLE 350e 4MATIC SUV
454,CUS1158,56,Single,6,Missouri,40000,40-60,LD,GLC300 4MATIC SUV
455,CUS1159,53,Single,4,Colorado,170000,40-60,CD,S600 Sedan
456,CUS1162,32,Married,2,Missouri,250000,20-40,LD,AMG S65 Cabriolet
457,CUS1163,43,Single,2,Nebraska,50000,40-60,LD,SLC 300 Roadster
458,CUS1165,46,Married,4,Idaho,230000,40-60,LD,AMG S65 Sedan
459,CUS1172,32,Married,6,Wyoming,120000,20-40,LD,AMG GLS63 SUV
460,CUS1173,47,Married,4,Oregon,170000,40-60,LD,Mercedes-Maybach S550 4MATIC Sedan
461,CUS1178,43,Single,6,New Hampshire,140000,40-60,LD,AMG G63 SUV
462,CUS1180,45,Married,3,Pennsylvania,110000,40-60,LD,AMG GT
463,CUS1181,53,Married,6,District of Columbia,90000,40-60,CD,GLS550 SUV
464,CUS1189,24,Single,5,Kansas,50000,20-40,LD,GLE 350e 4MATIC SUV
465,CUS1199,24,Single,5,Mississippi,100000,20-40,LD,AMG GLE63 SUV
466,CUS1204,31,Married,4,New York,190000,20-40,LD,Mercedes-Maybach S600 Sedan
467,CUS1210,22,Married,6,Illinois,120000,20-40,LD,AMG GLS63 SUV
468,CUS1214,33,Married,2,Florida,180000,20-40,LD,AMG S63 Cabriolet
469,CUS1216,22,Married,5,Guam,140000,20-40,LD,AMG G63 SUV
470,CUS1218,52,Single,2,Montana,50000,40-60,LD,SLC 300 Roadster
471,CUS1219,64,Single,5,Minnesota,70000,>60,LD,GLS450 SUV
472,CUS1220,30,Married,6,Arkansas,110000,20-40,CD,AMG GLE63 S SUV
473,CUS1221,31,Married,3,Utah,50000,20-40,LD,GLC300 4MATIC Coupe
474,CUS1222,26,Single,5,Illinois,30000,20-40,LD,GLA 4MATIC SUV
475,CUS1226,21,Married,4,Vermont,140000,20-40,LD,AMG S63 Sedan
476,CUS1235,21,Married,6,Idaho,140000,20-40,LD,AMG G63 SUV
477,CUS1238,30,Single,6,Kansas,30000,20-40,LD,GLA 4MATIC SUV
478,CUS1240,34,Single,5,Wyoming,100000,20-40,LD,AMG GLE63 SUV
479,CUS1242,61,Married,3,New Mexico,80000,>60,LD,2016 CLS550 4MATIC Coupe
480,CUS1244,29,Single,4,Arkansas,40000,20-40,CD,C300
481,CUS1246,23,Single,2,Arizona,90000,20-40,CD,SL 450 Roadster
482,CUS1249,27,Married,4,Pennsylvania,170000,20-40,LD,Mercedes-Maybach S550 4MATIC Sedan
483,CUS1250,41,Single,6,Mississippi,90000,40-60,LD,GLS550 SUV
484,CUS1255,39,Married,4,Minnesota,230000,20-40,LD,AMG S65 Sedan
485,CUS1257,29,Single,6,Massachusetts,30000,20-40,LD,GLA 4MATIC SUV
486,CUS1258,23,Single,5,Oregon,70000,20-40,LD,AMG GLE43 SUV
487,CUS1259,53,Single,6,South Carolina,110000,40-60,LD,AMG GLE63 S SUV
488,CUS1260,56,Married,6,Washington,40000,40-60,LD,GLC300 4MATIC SUV
489,CUS1261,56,Single,2,Illinois,220000,40-60,LD,AMG SL65 Roadster
490,CUS1264,42,Single,5,Maine,70000,40-60,LD,GLS450 SUV
491,CUS1265,35,Married,4,Connecticut,40000,20-40,CD,C300
492,CUS1267,21,Single,4,Iowa,100000,20-40,LD,S550 4MATIC Sedan
493,CUS1268,53,Married,2,Indiana,130000,40-60,LD,S550 Cabriolet
494,CUS1269,22,Single,3,Illinois,130000,20-40,LD,AMG GT S
495,CUS1271,33,Married,4,Georgia,100000,20-40,LD,S550 4MATIC Sedan
496,CUS1275,48,Single,4,District of Columbia,70000,40-60,CD,AMG C63 Sedan
497,CUS1279,38,Married,2,Utah,80000,20-40,LD,AMG C63 S Cabriolet
498,CUS1280,53,Married,3,Maryland,110000,40-60,LD,AMG GT
499,CUS1288,46,Single,3,United States Virgin Islands,30000,40-60,LD,CLA250 4MATIC Coupe
500,CUS1289,45,Single,4,Nevada,170000,40-60,LD,Mercedes-Maybach S550 4MATIC Sedan
501,CUS1290,50,Married,6,Minnesota,120000,40-60,LD,G550 SUV
502,CUS1293,29,Married,3,Nebraska,240000,20-40,LD,AMG S65 Coupe
503,CUS1296,39,Married,5,Idaho,70000,20-40,LD,AMG GLE43 SUV
504,CUS1297,50,Single,5,Colorado,110000,40-60,CD,AMG GLE63 S SUV
505,CUS1298,23,Single,5,North Dakota,220000,20-40,LD,AMG G65 SUV
506,CUS1301,22,Married,2,Nebraska,70000,20-40,LD,AMG C63 Cabriolet
507,CUS1304,20,Married,3,Nebraska,160000,20-40,LD,AMG S63 Coupe
508,CUS1317,30,Single,5,Guam,220000,20-40,LD,AMG G65 SUV
509,CUS1318,38,Married,2,Mississippi,70000,20-40,LD,AMG C63 Cabriolet
510,CUS1319,19,Married,6,Indiana,140000,<20,LD,AMG G63 SUV
511,CUS1322,37,Married,4,Texas,140000,20-40,LD,AMG S63 Sedan
512,CUS1323,26,Married,6,Arkansas,100000,20-40,CD,AMG GLE63 SUV
513,CUS1327,48,Married,4,Massachusetts,40000,40-60,LD,C300 4MATIC SEDAN
514,CUS1334,18,Single,2,South Dakota,150000,<20,LD,AMG SL63Roadster
515,CUS1335,19,Married,6,Florida,100000,<20,LD,AMG GLE63 SUV
516,CUS1338,57,Single,3,Puerto Rico,60000,40-60,LD,E550 Coupe
517,CUS1339,36,Married,3,Oregon,40000,20-40,LD,C300 4MATIC Coupe
518,CUS1345,58,Single,4,Nevada,100000,40-60,LD,S550 4MATIC Sedan
519,CUS1346,49,Single,3,Connecticut,70000,40-60,CD,CLS550 Coupe
520,CUS1352,23,Single,5,Missouri,40000,20-40,LD,GLC300 4MATIC SUV
521,CUS1353,21,Single,3,South Carolina,80000,20-40,LD,2016 CLS550 4MATIC Coupe
522,CUS1356,37,Single,6,Virginia,30000,20-40,LD,GLA 4MATIC SUV
523,CUS1358,36,Married,4,Colorado,140000,20-40,CD,AMG S63 Sedan
524,CUS1360,59,Married,2,Texas,50000,40-60,LD,C300 4MATIC Cabriolet
525,CUS1361,57,Married,4,Pennsylvania,100000,40-60,LD,S550 4MATIC Sedan
526,CUS1367,45,Married,4,Northern Mariana Islands,140000,40-60,LD,AMG S63 Sedan
527,CUS1368,43,Married,5,South Carolina,110000,40-60,LD,AMG GLE63 S SUV
528,CUS1373,60,Single,6,New Jersey,50000,>60,LD,GLE 350e 4MATIC SUV
529,CUS1374,64,Single,5,Connecticut,50000,>60,CD,GLE 350 SUV
530,CUS1376,43,Single,4,Rhode Island,170000,40-60,LD,Mercedes-Maybach S550 4MATIC Sedan
531,CUS1378,62,Married,2,Illinois,50000,>60,LD,C300 4MATIC Cabriolet
532,CUS1379,45,Single,4,Massachusetts,100000,40-60,LD,S550 4MATIC Sedan
533,CUS1380,62,Married,6,Indiana,100000,>60,LD,AMG GLE63 SUV
534,CUS1382,34,Single,6,Montana,30000,20-40,LD,GLA 4MATIC SUV
535,CUS1385,35,Married,3,Guam,80000,20-40,LD,2016 CLS550 4MATIC Coupe
536,CUS1386,23,Married,5,North Dakota,40000,20-40,LD,GLC300 4MATIC SUV
537,CUS1387,23,Single,3,Wyoming,30000,20-40,LD,CLA250 4MATIC Coupe
538,CUS1396,34,Married,5,Illinois,40000,20-40,LD,GLC300 4MATIC SUV
539,CUS1402,31,Married,6,Oregon,90000,20-40,LD,GLS550 SUV
540,CUS1406,26,Married,2,New Jersey,50000,20-40,LD,C300 4MATIC Cabriolet
541,CUS1407,57,Married,5,Georgia,120000,40-60,LD,G550 SUV
542,CUS1410,63,Single,4,Pennsylvania,230000,>60,LD,AMG S65 Sedan
543,CUS1414,30,Married,6,Tennessee,220000,20-40,LD,AMG G65 SUV
544,CUS1415,60,Single,3,California,70000,>60,CD,CLS550 Coupe
545,CUS1418,41,Single,5,New Mexico,120000,40-60,LD,G550 SUV
546,CUS1420,57,Single,5,Maine,110000,40-60,LD,AMG GLE63 S SUV
547,CUS1422,56,Single,2,Iowa,150000,40-60,LD,AMG SL63Roadster
548,CUS1425,55,Married,5,Puerto Rico,30000,40-60,LD,GLA 4MATIC SUV
549,CUS1435,34,Single,6,Arizona,120000,20-40,CD,AMG GLS63 SUV
550,CUS1437,46,Married,3,Georgia,40000,40-60,LD,C300 4MATIC Coupe
551,CUS1440,33,Single,2,Pennsylvania,110000,20-40,LD,SL 550 Roadster
552,CUS1443,29,Single,4,District of Columbia,40000,20-40,CD,C300
553,CUS1447,30,Single,3,Maine,30000,20-40,LD,CLA250 4MATIC Coupe
554,CUS1448,53,Married,6,South Carolina,90000,40-60,LD,GLS550 SUV
555,CUS1450,60,Married,2,District of Columbia,80000,>60,CD,AMG C63 S Cabriolet
556,CUS1454,62,Single,4,New Mexico,70000,>60,LD,AMG E43 Sedan
557,CUS1455,62,Married,6,Alabama,50000,>60,CD,GLE 350 SUV
558,CUS1457,38,Single,5,Massachusetts,100000,20-40,LD,AMG GLE63 SUV
559,CUS1460,55,Married,6,Minnesota,100000,40-60,LD,AMG GLE63 SUV
560,CUS1461,60,Married,3,Delaware,240000,>60,CD,AMG S65 Coupe
561,CUS1464,32,Married,6,Alaska,100000,20-40,CD,AMG GLE63 SUV
562,CUS1472,57,Married,3,California,160000,40-60,CD,AMG S63 Coupe
563,CUS1473,54,Single,3,Puerto Rico,120000,40-60,LD,S550 4MATIC Coupe
564,CUS1478,54,Single,2,Arkansas,50000,40-60,CD,SLC 300 Roadster
565,CUS1479,57,Married,2,Oklahoma,250000,40-60,LD,AMG S65 Cabriolet
566,CUS1480,32,Single,3,Wyoming,120000,20-40,LD,S550 4MATIC Coupe
567,CUS1483,56,Married,6,Virginia,120000,40-60,LD,G550 SUV
568,CUS1487,26,Single,2,Wyoming,90000,20-40,LD,SL 450 Roadster
569,CUS1492,37,Single,4,West Virginia,70000,20-40,LD,AMG C63 S Sedan
570,CUS1493,56,Married,6,Georgia,220000,40-60,LD,AMG G65 SUV
571,CUS1500,52,Single,5,Ohio,30000,40-60,LD,GLA 4MATIC SUV
572,CUS1502,50,Single,6,Maine,220000,40-60,LD,AMG G65 SUV
573,CUS1503,65,Married,4,Delaware,40000,>60,CD,C300
574,CUS1504,37,Married,5,Delaware,120000,20-40,CD,AMG GLS63 SUV
575,CUS1506,37,Married,3,Nebraska,50000,20-40,LD,GLC300 4MATIC Coupe
576,CUS1509,38,Single,6,Vermont,70000,20-40,LD,AMG GLE43 SUV
577,CUS1510,31,Single,3,South Dakota,130000,20-40,LD,AMG GT S
578,CUS1511,20,Married,4,Rhode Island,100000,20-40,LD,S550 4MATIC Sedan
579,CUS1512,35,Married,2,Vermont,180000,20-40,LD,AMG S63 Cabriolet
580,CUS1515,39,Married,2,Wisconsin,80000,20-40,LD,AMG C63 S Cabriolet
581,CUS1516,26,Married,3,Nebraska,120000,20-40,LD,S550 4MATIC Coupe
582,CUS1519,27,Married,3,Kansas,60000,20-40,LD,AMG GLC43 Coupe
583,CUS1520,59,Single,4,Florida,70000,40-60,LD,AMG C63 Sedan
584,CUS1523,47,Single,5,Kansas,100000,40-60,LD,AMG GLE63 SUV
585,CUS1524,60,Married,6,Colorado,90000,>60,CD,GLS550 SUV
586,CUS1535,28,Married,5,Alaska,30000,20-40,CD,GLA SUV
587,CUS1543,44,Married,4,Wisconsin,140000,40-60,LD,AMG S63 Sedan
588,CUS1545,39,Married,4,Tennessee,40000,20-40,LD,C300 4MATIC SEDAN
589,CUS1548,19,Married,6,Louisiana,30000,<20,LD,GLA 4MATIC SUV
590,CUS1549,27,Single,4,West Virginia,100000,20-40,LD,S550 4MATIC Sedan
591,CUS1551,37,Single,6,Connecticut,50000,20-40,CD,GLE 350 SUV
592,CUS1553,55,Single,6,Michigan,40000,40-60,LD,GLC300 4MATIC SUV
593,CUS1558,62,Single,6,Arkansas,70000,>60,CD,GLS450 SUV
594,CUS1559,27,Married,2,Pennsylvania,130000,20-40,LD,S550 Cabriolet
595,CUS1561,48,Married,2,Kansas,250000,40-60,LD,AMG S65 Cabriolet
596,CUS1562,47,Single,6,Maine,50000,40-60,LD,GLE 350e 4MATIC SUV
597,CUS1563,38,Married,3,Oregon,160000,20-40,LD,AMG S63 Coupe
598,CUS1567,21,Married,3,Delaware,30000,20-40,CD,CLA250 Coupe
599,CUS1574,46,Married,6,Nevada,40000,40-60,LD,GLC300 4MATIC SUV
600,CUS1575,55,Married,3,Nevada,60000,40-60,LD,E400 Cabriolet
601,CUS1576,30,Married,2,South Carolina,50000,20-40,LD,C300 4MATIC Cabriolet
602,CUS1577,40,Single,3,Louisiana,60000,40-60,LD,E400 4MATIC Coupe
603,CUS1578,44,Single,5,Missouri,100000,40-60,LD,AMG GLE63 SUV
604,CUS1579,23,Single,2,Rhode Island,60000,20-40,LD,AMG SLC43 Roadster
605,CUS1581,52,Single,5,Texas,100000,40-60,LD,AMG GLE63 SUV
606,CUS1582,63,Single,3,South Dakota,50000,>60,LD,GLC300 4MATIC Coupe
607,CUS1583,50,Single,5,Utah,70000,40-60,LD,GLS450 SUV
608,CUS1584,51,Single,3,Texas,80000,40-60,LD,2016 CLS550 4MATIC Coupe
609,CUS1588,29,Married,6,Nevada,70000,20-40,LD,AMG GLE43 SUV
610,CUS1589,41,Married,6,Utah,220000,40-60,LD,AMG G65 SUV
611,CUS1595,52,Single,3,Missouri,240000,40-60,LD,AMG S65 Coupe
612,CUS1596,51,Married,4,American Samoa,140000,40-60,CD,AMG S63 Sedan
613,CUS1599,55,Single,4,South Dakota,190000,40-60,LD,Mercedes-Maybach S600 Sedan
614,CUS1604,35,Married,2,West Virginia,180000,20-40,LD,AMG S63 Cabriolet
615,CUS1605,20,Single,5,Montana,120000,20-40,LD,AMG GLS63 SUV
616,CUS1607,54,Married,3,Missouri,160000,40-60,LD,AMG S63 Coupe
617,CUS1609,32,Single,5,South Dakota,140000,20-40,LD,AMG G63 SUV
618,CUS1610,40,Single,2,Georgia,50000,40-60,LD,SLC 300 Roadster
619,CUS1611,21,Married,6,New Hampshire,220000,20-40,LD,AMG G65 SUV
620,CUS1612,48,Married,2,Northern Mariana Islands,250000,40-60,LD,AMG S65 Cabriolet
621,CUS1613,34,Single,6,Ohio,110000,20-40,LD,AMG GLE63 S SUV
622,CUS1619,30,Married,4,North Carolina,190000,20-40,LD,Mercedes-Maybach S600 Sedan
623,CUS1620,40,Married,3,Utah,70000,40-60,LD,2016 CLS400 4MATIC Coupe
624,CUS1623,30,Single,6,Puerto Rico,70000,20-40,LD,AMG GLE43 SUV
625,CUS1624,38,Married,3,Tennessee,30000,20-40,LD,CLA250 4MATIC Coupe
626,CUS1625,42,Single,4,Oklahoma,70000,40-60,LD,AMG C63 Sedan
627,CUS1626,24,Single,4,Delaware,70000,20-40,CD,AMG C63 S Sedan
628,CUS1630,42,Married,4,Georgia,50000,40-60,LD,E300 4MATIC Sedan
629,CUS1635,48,Married,5,Oklahoma,140000,40-60,LD,AMG G63 SUV
630,CUS1638,53,Married,3,Pennsylvania,70000,40-60,LD,CLS550 Coupe
631,CUS1639,65,Married,6,Hawaii,100000,>60,LD,AMG GLE63 SUV
632,CUS1640,52,Single,3,Virginia,70000,40-60,LD,CLS550 Coupe
633,CUS1641,38,Single,3,South Dakota,130000,20-40,LD,AMG GT S
634,CUS1649,36,Married,2,Delaware,70000,20-40,CD,AMG C63 Cabriolet
635,CUS1658,21,Single,2,Florida,60000,20-40,LD,AMG SLC43 Roadster
636,CUS1659,33,Single,6,Minnesota,220000,20-40,LD,AMG G65 SUV
637,CUS1664,63,Married,5,Nebraska,30000,>60,LD,GLA 4MATIC SUV
638,CUS1665,47,Single,5,Vermont,90000,40-60,LD,GLS550 SUV
639,CUS1667,32,Married,5,Texas,100000,20-40,LD,AMG GLE63 SUV
640,CUS1668,55,Married,6,Connecticut,50000,40-60,CD,GLE 350 SUV
641,CUS1674,51,Married,6,Massachusetts,30000,40-60,LD,GLA 4MATIC SUV
642,CUS1676,50,Married,5,North Dakota,120000,40-60,LD,G550 SUV
643,CUS1678,21,Married,2,Illinois,80000,20-40,LD,AMG C63 S Cabriolet
644,CUS1683,43,Single,4,Kansas,230000,40-60,LD,AMG S65 Sedan
645,CUS1690,33,Single,4,Illinois,140000,20-40,LD,AMG S63 Sedan
646,CUS1693,29,Single,2,Hawaii,220000,20-40,LD,AMG SL65 Roadster
647,CUS1698,35,Single,4,Connecticut,140000,20-40,CD,AMG S63 Sedan
648,CUS1699,54,Married,3,Northern Mariana Islands,110000,40-60,LD,AMG GT
649,CUS1702,34,Single,4,North Carolina,230000,20-40,LD,AMG S65 Sedan
650,CUS1703,62,Single,4,Florida,50000,>60,LD,E300 4MATIC Sedan
651,CUS1705,32,Single,5,Iowa,30000,20-40,LD,GLA 4MATIC SUV
652,CUS1706,36,Married,4,Utah,40000,20-40,LD,C300 4MATIC SEDAN
653,CUS1708,45,Married,4,Oregon,230000,40-60,LD,AMG S65 Sedan
654,CUS1713,58,Single,3,Colorado,120000,40-60,CD,S550 4MATIC Coupe
655,CUS1715,29,Single,6,Tennessee,140000,20-40,LD,AMG G63 SUV
656,CUS1718,61,Married,3,Montana,110000,>60,LD,AMG GLC63 S Coupe
657,CUS1723,56,Married,6,Maine,100000,40-60,LD,AMG GLE63 SUV
658,CUS1724,23,Single,4,Massachusetts,50000,20-40,LD,E300 4MATIC Sedan
659,CUS1725,63,Married,3,Indiana,160000,>60,LD,AMG S63 Coupe
660,CUS1727,40,Single,6,New Hampshire,50000,40-60,LD,GLE 350e 4MATIC SUV
661,CUS1730,40,Married,4,Mississippi,170000,40-60,LD,Mercedes-Maybach S550 4MATIC Sedan
662,CUS1731,49,Married,3,Indiana,30000,40-60,LD,CLA250 4MATIC Coupe
663,CUS1732,34,Married,5,Colorado,70000,20-40,CD,AMG GLE43 SUV
664,CUS1734,28,Married,4,Kentucky,140000,20-40,LD,AMG S63 Sedan
665,CUS1735,27,Married,4,Oklahoma,50000,20-40,LD,E300 4MATIC Sedan
666,CUS1737,18,Single,4,North Dakota,140000,<20,LD,AMG S63 Sedan
667,CUS1741,24,Married,6,Oklahoma,90000,20-40,LD,GLS550 SUV
